mode,scenario,fg_db,route,case,method,score
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-29.31026991994606
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",-0.18578489511601037
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",-29.918220870322937
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",-1.9041255866452829
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",-2.6708335421015774
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",-19.963757099355483
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",-5.922011878466771
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",-0.007485100147894531
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",-0.0007047019523854131
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)",-45.117041212900546
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)",-37.93758149007909
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)",-0.029434113874856973
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)",-0.5024255967662664
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)",-0.9743857729539823
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)",-7.594852536917992e-06
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)",-0.06816119065879502
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)",-0.07060804502159689
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)",-0.07470108831975042
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)",-1.113946531961453
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-26.608278420733015
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,joint,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",-0.183511819654862
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",-27.176715911878027
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,joint,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",-1.0443561379557873
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,joint,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",-1.4835448541856
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,joint,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",18.245115107357723
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,joint,"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",-5.113816983712018
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,joint,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",-0.0069511632391243946
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,joint,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",-0.0006862512030209329
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,joint,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)",-44.653156778213805
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,joint,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)",-5.06861221890433
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,joint,"ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)",-0.04747604306996314
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,joint,"ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)",-0.4792232725661624
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,joint,"ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)",-0.8538347242137735
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,joint,"ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)",-5.493832063271334e-06
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,joint,"ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)",-0.06678176579099174
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,joint,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)",-0.06561551250280387
