scenario,route,case,bg_db,method,score,solver,tech_shape,n_activities,n_products,error
SSP2M_2050,reuse,joint,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)",-9.093450645945603e-06,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,joint,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)",-0.08501795303321374,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,joint,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)",-0.09388358289435987,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,joint,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)",-0.09860348289022801,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,joint,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)",-0.29492533175673613,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,recycling_postcons,c3c4_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",1.7100242394078737,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,recycling_postcons,c3c4_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",0.004900110847477549,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,recycling_postcons,c3c4_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",1.8045019733334722,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,recycling_postcons,c3c4_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",0.8621168351214158,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,recycling_postcons,c3c4_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",1.1917594223446373,standard,"(107090, 107090)",107090,107090,
