tag,iteration,case,method,score
contemp_hydrolysis_uncertainty,35,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",19.10367307539611
contemp_hydrolysis_uncertainty,36,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",27.115299081119073
contemp_hydrolysis_uncertainty,36,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-10.023165993372533
contemp_hydrolysis_uncertainty,36,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",17.09213308774657
contemp_hydrolysis_uncertainty,37,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",21.17944222004997
contemp_hydrolysis_uncertainty,37,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-10.026691227461018
contemp_hydrolysis_uncertainty,37,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",11.152750992588988
contemp_hydrolysis_uncertainty,38,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",13.618467954870155
contemp_hydrolysis_uncertainty,38,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-11.121720158055865
contemp_hydrolysis_uncertainty,38,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.4967477968142884
contemp_hydrolysis_uncertainty,39,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",16.189257661571297
contemp_hydrolysis_uncertainty,39,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-9.689116115691045
contemp_hydrolysis_uncertainty,39,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",6.5001415458802185
contemp_hydrolysis_uncertainty,40,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",16.926524482111194
contemp_hydrolysis_uncertainty,40,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-10.96470041620654
contemp_hydrolysis_uncertainty,40,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",5.961824065904638
contemp_hydrolysis_uncertainty,41,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",11.601851761776926
contemp_hydrolysis_uncertainty,41,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-10.029165101511975
