exchange_type,amount,unit,input_key,input_name,input_location,uncertainty_type,loc,scale,minimum,maximum,comment
biosphere,8.80893e-08,kilogram,"('ecoinvent-3.10-biosphere', '63974d2c-11f3-45eb-be9c-726261b04d85')",Phenol,,2,-16.244914764274714,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.02333e-08,kilogram,"('ecoinvent-3.10-biosphere', 'ea4e9316-5080-4b3b-bbf3-1949f6d7577a')",Phosphorus,,2,-18.397618728355663,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,6.66012e-10,kilogram,"('ecoinvent-3.10-biosphere', '07279b73-709f-4ac2-a9e1-82fbd01ce301')",Polychlorinated biphenyls,,2,-21.129713427532465,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,2.08577e-07,kilogram,"('ecoinvent-3.10-biosphere', '9597c1a2-ecda-4a89-97c5-efcdc679058d')",Potassium I,,2,-15.382957559327343,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,0.0216,kilo Becquerel,"('ecoinvent-3.10-biosphere', '1551f1cd-7cb7-4f68-a628-cb9301323c7b')",Radon-222,,2,-3.835061964292018,0.9273618495495705,,,"Emissions from mining and preparation activities: Own assumption according to Dones et al. (2007): ""emission 1.8 times the average for other coals in ecoinvent, along UNSCEAR 1993""."
biosphere,3.11875e-11,kilogram,"('ecoinvent-3.10-biosphere', '17505bf8-40af-4580-8608-5841ff063d23')",Scandium,,2,-24.19100374241681,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,2.4825e-09,kilogram,"('ecoinvent-3.10-biosphere', 'e6551223-73b6-4289-b841-c5cdeb25abd9')",Selenium IV,,2,-19.81399972000922,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.36357e-09,kilogram,"('ecoinvent-3.10-biosphere', '479daf8f-657e-46a6-bdea-3cb2c61c44b1')",Silicon,,2,-20.4131595764935,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,2.31726e-11,kilogram,"('ecoinvent-3.10-biosphere', '35df5fe0-c90d-43b4-a35a-3d97022114d2')",Silver I,,2,-24.488050569709873,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.17935e-07,kilogram,"('ecoinvent-3.10-biosphere', '3d719c07-ec27-4971-b7cc-4bcf17d77dd3')",Sodium I,,2,-15.953132211710573,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
