from_key,from_db,from_code,from_name,from_location,to_key,to_db,to_code,to_name,to_location,amount,unit,uncertainty_type,loc,scale,minimum,maximum,comment
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', '24c9e1a0213ff8ccbf34f8b84786c8d1')",ecoinvent_3.10.1.1_consequential_unitprocess,24c9e1a0213ff8ccbf34f8b84786c8d1,market for waste graphical paper,CO,-2.1001961265015728e-05,kilogram,2,-10.898594731029583,0.5053711507397312,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', '08825c46f803726820e44d495bf23d18')",ecoinvent_3.10.1.1_consequential_unitprocess,08825c46f803726820e44d495bf23d18,market for waste mineral wool,Europe without Switzerland,-1.4892179941807366e-05,kilogram,2,-11.287374318907856,0.5877074101966046,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', '2caec67c32d645c0139678cbd4783b93')",ecoinvent_3.10.1.1_consequential_unitprocess,2caec67c32d645c0139678cbd4783b93,market for waste graphical paper,ZA,-1.3697796492079646e-05,kilogram,2,-11.325975578060522,0.5053711507397312,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'f4c56120b5ea044a3177ab245c3be08f')",ecoinvent_3.10.1.1_consequential_unitprocess,f4c56120b5ea044a3177ab245c3be08f,market for waste graphical paper,PE,-7.399802527750651e-06,kilogram,2,-11.941757243549315,0.5053711507397312,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', '93000fcfc09c696ffa19ee879f3298f2')",ecoinvent_3.10.1.1_consequential_unitprocess,93000fcfc09c696ffa19ee879f3298f2,"market for waste plastic, mixture",CO,-6.232939636812021e-06,kilogram,2,-12.11336248463624,0.5053711507397312,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'aed3397b80cf98c918845a2c1c119dee')",ecoinvent_3.10.1.1_consequential_unitprocess,aed3397b80cf98c918845a2c1c119dee,"market for waste plastic, mixture",IN,-2.5744272995609174e-06,kilogram,2,-12.997583456522396,0.5053711507397312,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', '3d5be7ed65ba2f6f6f01e5218ea1c652')",ecoinvent_3.10.1.1_consequential_unitprocess,3d5be7ed65ba2f6f6f01e5218ea1c652,"market for waste plastic, mixture",ZA,-2.4446594012845684e-06,kilogram,2,-13.049304748919258,0.5053711507397312,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'b8bbad27d36f5b44478002f5a0f59fa1')",ecoinvent_3.10.1.1_consequential_unitprocess,b8bbad27d36f5b44478002f5a0f59fa1,market for waste graphical paper,CY,-1.83643114157099e-06,kilogram,2,-13.335386466769698,0.5053711507397312,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', '647374cd6feaa0b8043ba8516986da0e')",ecoinvent_3.10.1.1_consequential_unitprocess,647374cd6feaa0b8043ba8516986da0e,"market for waste plastic, mixture",PE,-1.0400392256825958e-06,kilogram,2,-13.903952128519766,0.5053711507397312,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', '08115264ffce4885edd40a4d29c90df1')",ecoinvent_3.10.1.1_consequential_unitprocess,08115264ffce4885edd40a4d29c90df1,"market for waste plastic, mixture",CY,-4.713870835084384e-07,kilogram,2,-14.695286247098863,0.5053711507397312,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', '05ce04b5346ee3dd21d8e86581da335c')",ecoinvent_3.10.1.1_consequential_unitprocess,05ce04b5346ee3dd21d8e86581da335c,market for waste bitumen,Europe without Switzerland,-5.6302844283931255e-08,kilogram,2,-16.86522078293599,0.5877074101966046,,,
