case,method,score
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | acidification: terrestrial",-2.509284667249961e-09
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | climate change: freshwater ecosystems",-1.2420480434467054e-12
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | climate change: terrestrial ecosystems",-4.5527272370365654e-08
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | ecotoxicity: freshwater",-2.2318537882459023e-10
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | ecotoxicity: marine",-1.5528327207845993e-07
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | ecotoxicity: terrestrial",-6.739821602473658e-11
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | eutrophication: freshwater",-3.4888628475971144e-10
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | eutrophication: marine",-2.4313706386638303e-14
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | land use",-9.571094547845066e-10
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | photochemical oxidant formation: terrestrial ecosystems",-9.454430287460995e-10
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | water use: aquatic ecosystems",7.28369327680804e-15
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | ecosystem quality | water use: terrestrial ecosystems",1.6279797350447376e-10
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | human health | climate change: human health",-2.2763111296908178e-05
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | human health | human toxicity: carcinogenic",-0.0023685577960249537
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | human health | human toxicity: non-carcinogenic",-0.0001039443116930251
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | human health | ionising radiation",5.792916353885292e-11
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | human health | ozone depletion",-7.570478754370199e-10
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | human health | particulate matter formation",-3.012362102890301e-06
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | human health | photochemical oxidant formation: human health",-6.552857298986325e-09
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | human health | water use: human health",2.6771206889174274e-08
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | natural resources | energy resources: non-renewable, fossil",-0.12392572301754409
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | natural resources | material resources: metals/minerals",-0.04630387080392929
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | total: ecosystem quality | ecosystem quality",-2.0586293921493237e-07
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | total: human health | human health",-0.002498257847829953
staged_total,"ReCiPe 2016 v1.03, endpoint (E) | total: natural resources | natural resources",-0.1702295936586754
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | acidification: terrestrial no LT",-2.509279503971221e-09
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | climate change: terrestrial ecosystems no LT",-5.68895934183573e-09
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | ecotoxicity: freshwater no LT",-1.4186392121299054e-12
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | ecotoxicity: marine no LT",-6.356083208979082e-13
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | ecotoxicity: terrestrial no LT",-6.267291891829446e-11
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | eutrophication: freshwater no LT",-1.5173708317877457e-11
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | eutrophication: marine no LT",-1.4805771445975703e-14
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | land use no LT",-9.571094547845066e-10
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | photochemical oxidant formation: terrestrial ecosystems no LT",-9.454349258766988e-10
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | water use: aquatic ecosystems no LT",7.28369327680804e-15
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | water use: terrestrial ecosystems no LT",1.6279797350447376e-10
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | human health no LT | climate change: human health no LT",-1.8850734337367853e-06
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | human health no LT | human toxicity: carcinogenic no LT",-1.4835885247598257e-07
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | human health no LT | human toxicity: non-carcinogenic no LT",-6.227570406114116e-08
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | human health no LT | ionising radiation no LT",9.86475247081665e-13
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | human health no LT | ozone depletion no LT",-1.972069546076368e-10
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | human health no LT | particulate matter formation no LT",-3.0112104514561094e-06
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | human health no LT | photochemical oxidant formation: human health no LT",-6.552800196986851e-09
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | human health no LT | water use: human health no LT",2.6771206889174274e-08
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | natural resources no LT | energy resources: non-renewable, fossil no LT",-0.12698186545770468
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | natural resources no LT | material resources: metals/minerals no LT",-0.04630387080392929
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | total: ecosystem quality no LT | ecosystem quality no LT",-1.018082539432562e-08
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | total: human health no LT | human health no LT",-5.08688938441698e-06
staged_total,"ReCiPe 2016 v1.03, endpoint (H) no LT | total: natural resources no LT | natural resources no LT",-0.17328573609883602
staged_total,"ReCiPe 2016 v1.03, endpoint (H) | ecosystem quality | acidification: terrestrial",-2.509284667249961e-09
