tag,iteration,route,case,method,score
contemp_al_base_routes_uncertainty_rewire_embedded,10,reuse,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-56.045167499852276
contemp_al_base_routes_uncertainty_rewire_embedded,10,reuse,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-56.03292646799051
contemp_al_base_routes_uncertainty_rewire_embedded,10,reuse,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-56.03292646799051
contemp_al_base_routes_uncertainty_rewire_embedded,10,recycling_postcons,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.812674565331377
contemp_al_base_routes_uncertainty_rewire_embedded,10,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-52.838422593604854
contemp_al_base_routes_uncertainty_rewire_embedded,10,landfill,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.12920780685496783
contemp_al_base_routes_uncertainty_rewire_embedded,10,landfill,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.12920780685496783
contemp_al_base_routes_uncertainty_rewire_embedded,11,reuse,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.012415099417792713
contemp_al_base_routes_uncertainty_rewire_embedded,11,reuse,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-51.59849446151592
contemp_al_base_routes_uncertainty_rewire_embedded,11,reuse,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-51.586079362098225
contemp_al_base_routes_uncertainty_rewire_embedded,11,reuse,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-51.586079362098225
contemp_al_base_routes_uncertainty_rewire_embedded,11,recycling_postcons,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.316714804072351
contemp_al_base_routes_uncertainty_rewire_embedded,11,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-43.25660748570194
contemp_al_base_routes_uncertainty_rewire_embedded,11,landfill,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.10384614515662244
contemp_al_base_routes_uncertainty_rewire_embedded,11,landfill,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.10384614515662244
contemp_al_base_routes_uncertainty_rewire_embedded,12,reuse,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.012768076454815709
contemp_al_base_routes_uncertainty_rewire_embedded,12,reuse,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-49.86037170190815
contemp_al_base_routes_uncertainty_rewire_embedded,12,reuse,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-49.847603625453196
contemp_al_base_routes_uncertainty_rewire_embedded,12,reuse,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-49.847603625453196
contemp_al_base_routes_uncertainty_rewire_embedded,12,recycling_postcons,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",1.9763936356367944
contemp_al_base_routes_uncertainty_rewire_embedded,12,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-43.95337922485755
contemp_al_base_routes_uncertainty_rewire_embedded,12,landfill,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.08245589822121606
contemp_al_base_routes_uncertainty_rewire_embedded,12,landfill,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.08245589822121606
contemp_al_base_routes_uncertainty_rewire_embedded,13,reuse,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.010888516450362803
contemp_al_base_routes_uncertainty_rewire_embedded,13,reuse,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-42.76493832851293
contemp_al_base_routes_uncertainty_rewire_embedded,13,reuse,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-42.75404981206261
contemp_al_base_routes_uncertainty_rewire_embedded,13,reuse,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-42.75404981206261
contemp_al_base_routes_uncertainty_rewire_embedded,13,recycling_postcons,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.243606101411992
contemp_al_base_routes_uncertainty_rewire_embedded,13,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-34.507843687102614
contemp_al_base_routes_uncertainty_rewire_embedded,13,landfill,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.14885449531688935
contemp_al_base_routes_uncertainty_rewire_embedded,13,landfill,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.14885449531688935
contemp_al_base_routes_uncertainty_rewire_embedded,14,reuse,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.011553809206411317
contemp_al_base_routes_uncertainty_rewire_embedded,14,reuse,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-52.78668037208422
contemp_al_base_routes_uncertainty_rewire_embedded,14,reuse,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-52.77512656287777
contemp_al_base_routes_uncertainty_rewire_embedded,14,reuse,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-52.77512656287777
contemp_al_base_routes_uncertainty_rewire_embedded,14,recycling_postcons,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.354597618485765
contemp_al_base_routes_uncertainty_rewire_embedded,14,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-44.279008228745326
contemp_al_base_routes_uncertainty_rewire_embedded,14,landfill,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.1005328498816452
contemp_al_base_routes_uncertainty_rewire_embedded,14,landfill,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.1005328498816452
contemp_al_base_routes_uncertainty_rewire_embedded,15,reuse,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.013518059374969726
contemp_al_base_routes_uncertainty_rewire_embedded,15,reuse,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-55.0190994856658
contemp_al_base_routes_uncertainty_rewire_embedded,15,reuse,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-55.005581426290824
contemp_al_base_routes_uncertainty_rewire_embedded,15,reuse,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-55.005581426290824
contemp_al_base_routes_uncertainty_rewire_embedded,15,recycling_postcons,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.4914677896866553
contemp_al_base_routes_uncertainty_rewire_embedded,15,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-47.44052635201877
contemp_al_base_routes_uncertainty_rewire_embedded,15,landfill,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.12189369990035503
contemp_al_base_routes_uncertainty_rewire_embedded,15,landfill,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.12189369990035503
contemp_al_base_routes_uncertainty_rewire_embedded,16,reuse,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.013134793120200543
contemp_al_base_routes_uncertainty_rewire_embedded,16,reuse,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.86984986755768
contemp_al_base_routes_uncertainty_rewire_embedded,16,reuse,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.85671507443752
contemp_al_base_routes_uncertainty_rewire_embedded,16,reuse,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.85671507443752
contemp_al_base_routes_uncertainty_rewire_embedded,16,recycling_postcons,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.358950154678045
contemp_al_base_routes_uncertainty_rewire_embedded,16,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-43.154763887255626
contemp_al_base_routes_uncertainty_rewire_embedded,16,landfill,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.09682909485802194
contemp_al_base_routes_uncertainty_rewire_embedded,16,landfill,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.09682909485802194
